year,week,week_start,week_end,district,province,weekly_cases,cumulative_cases,source
2026,19,2026-05-04,2026-05-10,Colombo,Western,328,6628,WER
2026,19,2026-05-04,2026-05-10,Gampaha,Western,199,3907,WER
2026,19,2026-05-04,2026-05-10,Kalutara,Western,123,1814,WER
2026,19,2026-05-04,2026-05-10,Kandy,Central,103,1205,WER
2026,19,2026-05-04,2026-05-10,Matale,Central,15,664,WER
2026,19,2026-05-04,2026-05-10,Nuwara Eliya,Central,10,261,WER
2026,19,2026-05-04,2026-05-10,Galle,Southern,71,2016,WER
2026,19,2026-05-04,2026-05-10,Hambantota,Southern,24,850,WER
2026,19,2026-05-04,2026-05-10,Matara,Southern,88,2007,WER
2026,19,2026-05-04,2026-05-10,Jaffna,Northern,20,600,WER
2026,19,2026-05-04,2026-05-10,Kilinochchi,Northern,1,160,WER
2026,19,2026-05-04,2026-05-10,Mannar,Northern,2,85,WER
2026,19,2026-05-04,2026-05-10,Vavuniya,Northern,4,95,WER
2026,19,2026-05-04,2026-05-10,Mullaitivu,Northern,0,43,WER
2026,19,2026-05-04,2026-05-10,Batticaloa,Eastern,46,794,WER
2026,19,2026-05-04,2026-05-10,Ampara,Eastern,10,209,WER
2026,19,2026-05-04,2026-05-10,Kalmunai,Eastern,36,513,WER
2026,19,2026-05-04,2026-05-10,Trincomalee,Eastern,35,381,WER
2026,19,2026-05-04,2026-05-10,Kurunegala,North Western,56,787,WER
2026,19,2026-05-04,2026-05-10,Puttalam,North Western,18,434,WER
2026,19,2026-05-04,2026-05-10,Anuradhapura,North Central,12,305,WER
2026,19,2026-05-04,2026-05-10,Polonnaruwa,North Central,18,226,WER
2026,19,2026-05-04,2026-05-10,Badulla,Uva,13,404,WER
2026,19,2026-05-04,2026-05-10,Monaragala,Uva,32,395,WER
2026,19,2026-05-04,2026-05-10,Ratnapura,Sabaragamuwa,164,1906,WER
2026,19,2026-05-04,2026-05-10,Kegalle,Sabaragamuwa,52,801,WER
2026,20,2026-05-11,2026-05-17,Colombo,Western,308,6936,WER
2026,20,2026-05-11,2026-05-17,Gampaha,Western,213,4120,WER
2026,20,2026-05-11,2026-05-17,Kalutara,Western,157,1971,WER
2026,20,2026-05-11,2026-05-17,Kandy,Central,135,1340,WER
2026,20,2026-05-11,2026-05-17,Matale,Central,11,675,WER
2026,20,2026-05-11,2026-05-17,Nuwara Eliya,Central,9,270,WER
2026,20,2026-05-11,2026-05-17,Galle,Southern,104,2120,WER
2026,20,2026-05-11,2026-05-17,Hambantota,Southern,58,908,WER
2026,20,2026-05-11,2026-05-17,Matara,Southern,93,2100,WER
2026,20,2026-05-11,2026-05-17,Jaffna,Northern,22,622,WER
2026,20,2026-05-11,2026-05-17,Kilinochchi,Northern,2,162,WER
2026,20,2026-05-11,2026-05-17,Mannar,Northern,4,89,WER
2026,20,2026-05-11,2026-05-17,Vavuniya,Northern,5,100,WER
2026,20,2026-05-11,2026-05-17,Mullaitivu,Northern,1,44,WER
2026,20,2026-05-11,2026-05-17,Batticaloa,Eastern,45,839,WER
2026,20,2026-05-11,2026-05-17,Ampara,Eastern,5,214,WER
2026,20,2026-05-11,2026-05-17,Kalmunai,Eastern,24,537,WER
2026,20,2026-05-11,2026-05-17,Trincomalee,Eastern,20,401,WER
2026,20,2026-05-11,2026-05-17,Kurunegala,North Western,45,832,WER
